方言,區,片／小區,小片,方言點,資料筆數,緯度,經度,編號
吳語,,太湖片,臨紹小片,餘姚,334,30.037197,121.154629,129
吳語,,太湖片,臨紹小片,紹興,314,29.995762,120.586109,130
吳語,,太湖片,臨紹小片,諸暨王家井,298,29.633070,120.213918,131
吳語,,太湖片,臨紹小片,嵊縣崇仁,300,29.604375,120.707259,132
吳語,,太湖片,臨紹小片,嵊縣太平,298,29.463925,120.598984,133
吳語,,太湖片,甬江小片,寧波,326,29.868336,121.543990,134
吳語,,台州片,,黃岩,308,28.650206,121.261625,135
吳語,,甌江片,,溫州,3371,27.994267,120.699367,136
吳語,,婺州片,,東陽(巍山鎮),0,29.325961,120.436027,
吳語,,婺州片,,蘭溪(諸葛鎮),0,29.249726,119.296140,
吳語,,婺州片,,金華,344,29.079164,119.647421,137
吳語,,婺州片,,永康,296,28.888782,120.047394,138
吳語,,處衢片,處州小片,雲和,3594,28.115800,119.573404,139
吳語,,處衢片,龍衢小片,開化,4433,29.137337,118.415495,140
吳語,,處衢片,龍衢小片,龍游,3469,29.028341,119.172355,141
吳語,,處衢片,龍衢小片,衢州,300,28.935810,118.874375,142
吳語,,處衢片,龍衢小片,常山,3837,28.901343,118.511287,143
吳語,,處衢片,龍衢小片,江山(江山市),3248,28.737245,118.626636,144
吳語,,處衢片,龍衢小片,玉山,3446,28.682055,118.245124,145
吳語,,處衢片,龍衢小片,遂昌,3429,28.592044,119.276252,146
吳語,,處衢片,龍衢小片,廣豐(永豐鎮),3486,28.439000,118.192000,147
吳語,,處衢片,龍衢小片,浦城(南浦鎮城關話),3069,27.917432,118.535146,148
吳語,,處衢片,龍衢小片,慶元,3423,27.619226,119.062512,149
吳語,,宣州片,銅涇小片,當塗縣年陡鄉,0,31.432092,118.462244,
吳語,,宣州片,銅涇小片,蕪湖縣灣址鎮,0,31.338790,118.385156,
吳語,,宣州片,銅涇小片,宣州市裘公鄉,2239,31.189111,118.696898,150
吳語,,宣州片,銅涇小片,蕪湖縣,798,31.134807,118.576121,151
吳語,,宣州片,銅涇小片,繁昌縣城關鎮,0,31.082940,118.199483,
吳語,,宣州片,銅涇小片,繁昌,787,31.082940,118.199483,152
吳語,,宣州片,銅涇小片,銅陵縣太平鄉,0,31.022110,117.838903,
吳語,,宣州片,銅涇小片,銅陵縣,788,30.944530,117.810841,153
吳語,,宣州片,銅涇小片,南陵(仙坊話),792,30.914930,118.334260,154
吳語,,宣州片,銅涇小片,南陵縣奚灘鄉,0,30.810727,118.469511,
吳語,,宣州片,銅涇小片,青陽縣童埠鎮,0,30.721552,117.806854,
吳語,,宣州片,銅涇小片,涇縣,788,30.690538,118.406438,155
吳語,,宣州片,銅涇小片,涇縣茂林鎮,0,30.506434,118.254550,
吳語,,宣州片,銅涇小片,黃山區廣陽鄉,0,30.372074,117.956542,
吳語,,宣州片,銅涇小片,石台縣七都鎮,0,30.236132,117.780390,
吳語,,宣州片,太高小片,當塗縣湖陽鄉,0,31.425618,118.793848,
吳語,,宣州片,太高小片,貴池市茅坦鄉,2193,30.702784,117.777988,156
吳語,,宣州片,太高小片,寧國市莊村鄉,2290,30.546943,119.186250,157
吳語,,宣州片,太高小片,黃山區永豐鄉,0,30.429393,117.969969,
吳語,,宣州片,太高小片,貴池市灌口鄉,2179,30.419968,117.386866,158
吳語,,宣州片,太高小片,寧國市南極鄉,2267,30.396603,119.075013,159
吳語,,宣州片,太高小片,黃山區甘棠鎮,2150,30.295363,118.136363,160
吳語,,宣州片,石陵小片,涇縣厚岸鄉,0,30.547041,118.058863,
吳語,,宣州片,石陵小片,青陽縣陵陽鎮,0,30.419470,117.901361,
吳語,,宣州片,石陵小片,石台,777,30.210169,117.486511,161
吳語,,宣州片,石陵小片,石台縣橫渡鄉,0,30.186787,117.557930,
徽語,,績歙片,,旌德(安徽省志),792,30.286350,118.540487,162
徽語,,績歙片,,績溪(華陽鎮),0,30.089688,116.760055,
徽語,,績歙片,,績溪(安徽省志),789,30.070866,118.595680,163
徽語,,績歙片,,歙縣(徽城鎮),0,29.866173,118.435147,
徽語,,休黟片,,黃山(湯口)(安徽省志),790,30.078581,118.191097,164
徽語,,休黟片,,黟縣(安徽省志),780,29.924811,117.938262,165
徽語,,休黟片,,黟縣(碧陽鎮),0,29.920188,117.943235,
徽語,,休黟片,,祁門(安徽省志),775,29.854054,117.717386,166
徽語,,休黟片,,休寧(海陽鎮),0,29.789967,118.178745,
徽語,,休黟片,,屯溪(屯溪城裡),0,29.711390,118.333723,
徽語,,休黟片,,屯溪(安徽省志),782,29.711390,118.333723,167
徽語,,休黟片,,婺源(紫陽鎮),0,29.261436,117.861603,
徽語,,祁德片,,祁門(祁山鎮),0,29.848091,117.725874,
徽語,,嚴州片,,淳安(淳城鎮),0,29.608773,119.041864,
徽語,,嚴州片,,建德(梅城鎮),0,29.540490,119.504186,
徽語,,嚴州片,,遂安(獅城鎮),0,29.488724,119.236749,
徽語,,嚴州片,,壽昌(壽昌鎮),0,29.357913,119.220720,
贛語,,昌靖片,,湖口,1428,29.739440,116.220266,168
贛語,,昌靖片,,星子,1428,29.448037,116.044893,169
贛語,,昌靖片,,都昌,1710,29.273194,116.204099,170
贛語,,昌靖片,,修水,1744,29.025707,114.547356,171
贛語,,昌靖片,,永修,1426,29.021824,115.809111,172
贛語,,昌靖片,,平江(南江),1736,28.971453,113.746311,173
贛語,,昌靖片,,安義,1766,28.844429,115.549199,174
贛語,,昌靖片,,奉新,1449,28.700806,115.384904,175
贛語,,昌靖片,,南昌,1417,28.683160,115.858089,176
贛語,,昌靖片,,南昌(漢語方音字匯),0,28.683160,115.858089,
贛語,,昌靖片,,高安,1448,28.417261,115.375618,177
贛語,,宜瀏片,,宜豐,1757,28.393613,114.803542,178
贛語,,宜瀏片,,上高,1454,28.232827,114.924494,179
贛語,,宜瀏片,,萬載,1421,28.104550,114.447551,180
贛語,,宜瀏片,,新余(沙土),1637,27.819984,114.937489,181
贛語,,宜瀏片,,醴陵(白兔潭),1738,27.792026,113.670777,182
贛語,,宜瀏片,,萍鄉,1474,27.622865,113.854676,183
贛語,,吉茶片,,永豐,1452,27.317869,115.441477,184
贛語,,吉茶片,,蓮花,1495,27.127669,113.961465,185
贛語,,吉茶片,,吉安,1437,27.113039,114.992913,186
贛語,,吉茶片,,吉水(螺田),1724,27.004408,115.544618,187
贛語,,吉茶片,,永新,1715,26.945233,114.242675,188
贛語,,吉茶片,,泰和,1444,26.790231,114.908861,189
贛語,,吉茶片,,茶陵,1745,26.777661,113.539224,190
贛語,,撫廣片,,東鄉,1433,28.236118,116.590465,191
贛語,,撫廣片,,臨川,1435,27.977282,116.360068,192
贛語,,撫廣片,,南城,1754,27.552748,116.644658,193
贛語,,撫廣片,,宜黃,1422,27.546146,116.222128,194
贛語,,撫廣片,,邵武,1843,27.340399,117.492599,195
贛語,,撫廣片,,黎川,1430,27.295061,116.911808,196
贛語,,撫廣片,,南豐,1429,27.218445,116.525725,197
贛語,,撫廣片,,泰寧縣,0,26.900248,117.175614,
贛語,,撫廣片,,泰寧(城關話),3419,26.900248,117.175614,198
贛語,,撫廣片,,建寧,1748,26.830902,116.846084,199
贛語,,撫廣片,,建寧(城關話),3319,26.830902,116.846084,200
贛語,,鷹弋片,,樂平,1427,28.961902,117.129169,201
贛語,,鷹弋片,,波陽,1411,28.859051,117.335662,202
贛語,,鷹弋片,,余干,1449,28.702302,116.695647,203
贛語,,鷹弋片,,橫峰,1417,28.407118,117.596452,204
贛語,,鷹弋片,,弋陽,1740,28.378044,117.449588,205
贛語,,大通片,,陽新(國和),1733,29.830258,115.215227,206
贛語,,懷岳片,,岳西,795,30.849442,116.359893,207
贛語,,懷岳片,,懷寧,799,30.734310,116.829694,208
贛語,,懷岳片,,潛山,798,30.631139,116.581257,209
贛語,,懷岳片,,太湖,788,30.454220,116.308799,210
贛語,,懷岳片,,宿松(河塔),1716,30.153740,116.129104,211
贛語,,懷岳片,,宿松(安徽省志),800,30.153740,116.129104,212
贛語,,懷岳片,,望江,806,30.124422,116.694117,213
贛語,,懷岳片,,東至,787,30.096687,117.027538,214
湘語,,長益片,,湘陰,0,28.670807,112.883301,
湘語,,長益片,,益陽,0,28.553883,112.355582,
湘語,,長益片,,長沙,3340,28.228209,112.938814,215
湘語,,長益片,,湘潭,0,27.829738,112.944049,
湘語,,長益片,,邵東,0,27.258942,111.744258,
湘語,,長益片,,衡山,0,27.230411,112.868244,
湘語,,長益片,,洪江,0,27.203906,109.833838,
湘語,,婁邵片,,安化,0,28.374107,111.212846,
湘語,,婁邵片,,新化,0,27.726515,111.327412,
湘語,,婁邵片,,婁底,0,27.701693,111.996001,
湘語,,婁邵片,,雙峰,3269,27.459144,112.192446,216
湘語,,婁邵片,,邵陽,0,27.239973,111.468236,
湘語,,婁邵片,,隆回,0,27.113978,111.032438,
湘語,,婁邵片,,武岡,0,26.726599,110.631884,
湘語,,婁邵片,,祁陽,0,26.580120,111.840657,
湘語,,婁邵片,,城步,0,26.355278,110.311900,
湘語,,婁邵片,,全州(縣城),4230,25.928617,111.072926,217
湘語,,婁邵片,,灌陽(文市),4193,25.678357,111.200360,218
湘語,,吉漵片,,古丈,0,28.616935,109.950728,
湘語,,吉漵片,,沅陵,0,28.452726,110.393844,
湘語,,吉漵片,,吉首,0,28.262360,109.698092,
湘語,,吉漵片,,漵浦,0,27.909979,110.593979,
閩語,閩南區,泉漳片,,永春,0,25.323635,118.294759,
閩語,閩南區,泉漳片,,漳平(永福),0,25.056482,117.309464,
閩語,閩南區,泉漳片,,龍岩,0,25.100632,117.034030,
閩語,閩南區,泉漳片,,南安(溪美鎮),4277,24.960385,118.386279,219
閩語,閩南區,泉漳片,,泉州,0,24.907574,118.586812,
閩語,閩南區,泉漳片,,晉江(青陽鎮),2722,24.815079,118.580527,220
閩語,閩南區,泉漳片,,長泰,0,24.625449,117.759153,
閩語,閩南區,泉漳片,,漳州,4358,24.513321,117.647363,221
閩語,閩南區,泉漳片,,廈門,4428,24.479836,118.089420,222
閩語,閩南區,泉漳片,,漳浦,4442,24.117135,117.613817,223
閩語,閩南區,泉漳片,,龍岩(適中中心村),0,24.883907,117.104749,
閩語,閩南區,泉漳片,,漳平(新橋南豐村),0,25.622481,117.473449,
閩語,閩南區,泉漳片,,龍岩(萬安涂潭村),0,25.379517,117.009827,
閩語,閩南區,泉漳片,,晉江(英林鎮),0,24.6274456,118.578639,
閩語,閩南區,大田片,,大田,4,25.687566,117.848104,224
閩語,閩南區,大田片,,大田(前路話),1845,25.687566,117.848104,225
閩語,閩南區,潮汕片,,潮州(府城話),2557,23.656972,116.622597,226
閩語,閩南區,潮汕片,,潮州(漢語方音字匯),3483,23.656972,116.622597,227
閩語,閩南區,潮汕片,,揭陽(榕城話),2539,23.549993,116.372831,228
閩語,閩南區,潮汕片,,澄海,3949,23.466496,116.755858,229
閩語,閩南區,潮汕片,,汕頭(汕頭市區),2542,23.353362,116.681943,230
閩語,閩南區,潮汕片,,海豐(海城鎮),2520,22.973017,115.337230,231
閩語,閩南區,潮汕片,,陸豐(內湖鎮),2532,22.975898,115.835409,232
閩語,閩南區,潮汕片,,大埔元洲仔(香港新界福佬話),2029,22.446875,114.176488,233
閩語,閩南區,雷州片,,電白(霞洞鎮黎話),2315,21.734791,111.115315,234
閩語,閩南區,雷州片,,遂溪,0,21.377219,110.250170,
閩語,閩南區,雷州片,,海康(雷城話),2533,20.694242,109.791453,235
閩語,莆仙區,,,仙游(城關話),4495,25.362051,118.691599,236
閩語,莆仙區,,,莆田,4191,25.454085,119.007777,237
閩語,閩東區,侯官片,,古田,3398,26.577841,118.746087,238
閩語,閩東區,侯官片,,尤溪,0,26.170171,118.190467,
閩語,閩東區,侯官片,,馬祖,1538,26.162183,119.962251,239
閩語,閩東區,侯官片,,福州,3642,26.074508,119.296494,240
閩語,閩東區,侯官片,,福清,4251,25.720229,119.383735,241
閩語,閩東區,福寧片,,壽寧,0,27.460631,119.504956,
閩語,閩東區,福寧片,,福鼎,0,27.324479,120.216978,
閩語,閩東區,福寧片,,柘榮,4248,27.234418,119.900554,242
閩語,閩東區,福寧片,,福安,3951,27.088049,119.647770,243
閩語,閩東區,福寧片,,寧德,3500,26.666291,119.526287,244
閩語,閩北區,西北片,,崇安,0,27.753000,118.036900,
閩語,閩北區,西北片,,崇安(崇城鎮城關話),3333,27.753000,118.036900,245
閩語,閩北區,西北片,,石陂,3235,27.699177,118.369541,246
閩語,閩北區,西北片,,建陽(潭城鎮城關話),3029,27.331909,118.120518,247
閩語,閩北區,東南片,,松溪,2981,27.526232,118.785468,248
閩語,閩北區,東南片,,建甌,3473,27.022725,118.304988,249
閩語,閩北區,東南片,,建甌(市志),3747,27.022725,118.304988,250
閩語,閩中區,,,沙縣(城關話),3423,26.397300,117.792450,251
閩語,閩中區,,,明溪(城關話),3465,26.355857,117.202226,252
閩語,閩中區,,,三明(三元話),3047,26.263432,117.638709,253
閩語,閩中區,,,永安,0,25.941937,117.365053,
閩語,瓊文區,府城片,,澄邁,0,19.738521,110.006755,
閩語,廣西閩語,,,平南(上渡雅埠)(廣西漢語方言),4498,23.536176,110.377941,254
閩語,閩方言島,,,中山(隆都)(珠江三角洲),6111,23.574028,116.730264,255
閩語,閩方言島,,,中山(隆都)(廣東閩方言),2464,23.574028,116.730264,256
閩語,閩方言島,,,中山(三鄉),2311,22.345332,113.426510,257
閩語,海外閩語,,,曼谷(潮州話),4430,13.820310,100.664710,258
閩語,海外閩語,,,馬來西亞(柔佛新山潮州話),0,1.463430,103.754715,
閩語,邵將過渡區,,,順昌,0,26.793295,117.810258,
閩語,邵將過渡區,,,將樂(城關話),3768,26.728588,117.471810,259
粵語,,廣府片,,樂昌,4317,25.130103,113.347578,260
粵語,,廣府片,,仁化,4282,25.085621,113.749027,261
粵語,,廣府片,,韶關,4288,24.810403,113.597522,262
粵語,,廣府片,,曲江(馬壩),2772,24.682728,113.604549,263
粵語,,廣府片,,英德(浛洸),0,24.258395,113.127981,
粵語,,廣府片,,英德,4217,24.186062,113.415045,264
粵語,,廣府片,,佛岡,4301,23.879192,113.531607,265
粵語,,廣府片,,清遠,4297,23.681801,113.056042,266
粵語,,廣府片,,從化(城內),4191,23.548404,113.586365,267
粵語,,廣府片,,花縣(花山),4276,23.449658,113.269762,268
粵語,,廣府片,,桂平(縣城),4212,23.394326,110.079379,269
粵語,,廣府片,,增城(縣城),4373,23.289339,113.837658,270
粵語,,廣府片,,三水(西南),4269,23.155926,112.896652,271
粵語,,廣府片,,廣州,3071,23.129163,113.264435,272
粵語,,廣府片,,肇慶(高要),4326,23.025404,112.457775,273
粵語,,廣府片,,佛山(市區),4303,23.021548,113.121416,274
粵語,,廣府片,,番禺(市橋),4264,22.951902,113.374448,275
粵語,,廣府片,,雲浮(雲城),4501,22.928115,112.043856,276
粵語,,廣府片,,南海(沙頭),4077,22.913668,113.031416,277
粵語,,廣府片,,高明(明城),4269,22.900103,112.892333,278
粵語,,廣府片,,順德(大良),4426,22.844015,113.246946,279
粵語,,廣府片,,新田蕃田(圍頭話),2733,22.700702,114.088427,280
粵語,,廣府片,,新興,4265,22.695698,112.225342,281
粵語,,廣府片,,大埔三門仔(蜑家話),2372,22.460365,114.204047,282
粵語,,廣府片,,大埔泰亨(圍頭話),2825,22.440897,114.164743,283
粵語,,廣府片,,香港(市區),4512,22.396428,114.109497,284
粵語,,廣府片,,西貢蠔涌(圍頭話),2810,22.355548,114.250586,285
粵語,,廣府片,,澳門(市區),4396,22.198745,113.543873,286
粵語,,廣府片,,寧明(縣城),4198,22.140567,107.076530,287
粵語,,廣府片,,北海(廉州鎮),3538,21.660152,109.200530,288
粵語,,廣府片,,北海(南康鎮),3572,21.588868,109.449293,289
粵語,,廣府片,,北海(沙田鎮海邊話),3426,21.515984,109.659537,290
粵語,,廣府片,,北海(市區白話),3577,21.481217,109.119899,291
粵語,,廣府片,,北海(營盤鎮佤話),3456,21.456788,109.446522,292
粵語,,高陽片,,百色(市內),4211,23.902371,106.618275,293
粵語,,高陽片,,南寧(市內),4197,22.817642,108.365631,294
粵語,,高陽片,,欽州(市內),4191,21.980968,108.654543,295
粵語,,高陽片,,陽江,0,21.857938,111.982207,
粵語,,高陽片,,北海(市內),4193,21.481217,109.119899,296
粵語,,四邑片,,鶴山(雅瑤),4276,22.765435,112.964283,297
粵語,,四邑片,,江門(白沙),4262,22.578723,113.081831,298
粵語,,四邑片,,新會(會城),4267,22.458300,113.034187,299
粵語,,四邑片,,開平(赤坎),4192,22.376484,112.698534,300
粵語,,四邑片,,斗門(上橫水上話),4293,22.371552,113.214716,301
粵語,,四邑片,,台山(台城),4141,22.251924,112.794065,302
粵語,,四邑片,,斗門(斗門鎮),4362,22.234906,113.198819,303
粵語,,四邑片,,恩平(牛江),4186,22.183229,112.305126,304
粵語,,勾漏片,,臨桂(五通)(土話),4360,25.238657,110.212557,305
粵語,,勾漏片,,融水(縣城)(土拐話),4359,25.066613,109.256516,306
粵語,,勾漏片,,連縣(清水),4184,24.780554,112.377534,307
粵語,,勾漏片,,平樂(張家)(土話),4360,24.633395,110.643242,308
粵語,,勾漏片,,連山(布田),4288,24.570465,112.093506,309
粵語,,勾漏片,,宜州(德勝)(百姓話),4363,24.485099,108.636617,310
粵語,,勾漏片,,陽山,4232,24.466675,112.626495,311
粵語,,勾漏片,,蒙山(西河),4213,24.201745,110.522144,312
粵語,,勾漏片,,信都(鋪門),4190,23.989179,111.724921,313
粵語,,勾漏片,,懷集,4303,23.911933,112.184647,314
粵語,,勾漏片,,百色(那畢)(平話),4363,23.902371,106.618275,315
粵語,,勾漏片,,廣寧,4286,23.634671,112.440683,316
粵語,,勾漏片,,武宣(樟村)(伢話),4359,23.594110,109.663207,317
粵語,,勾漏片,,封開(南豐),4160,23.424033,111.512343,318
粵語,,勾漏片,,四會,4338,23.326504,112.733773,319
粵語,,勾漏片,,郁南(平台),4198,23.234627,111.535249,320
粵語,,勾漏片,,賓陽(新橋)(賓陽話),4358,23.217829,108.810344,321
粵語,,勾漏片,,德慶,4404,23.143677,111.785878,322
粵語,,勾漏片,,貴港(南江),4194,23.111531,109.598927,323
粵語,,勾漏片,,南寧(沙井)(平話),4365,22.817642,108.365631,324
粵語,,勾漏片,,羅定,4247,22.768595,111.570011,325
粵語,,勾漏片,,北流(唐僚),4213,22.708311,110.354215,326
粵語,,勾漏片,,橫縣(縣城),4203,22.680054,109.261369,327
粵語,,勾漏片,,扶綏(龍頭)(平話),4360,22.635013,107.904187,328
粵語,,勾漏片,,崇左(四排話)(平話),4366,22.377281,107.364962,329
粵語,,勾漏片,,博白(縣城),4195,22.273050,109.976531,330
粵語,,吳化片,,靈山(縣城),4191,22.416537,109.291007,331
粵語,,吳化片,,浦北(縣城),4183,22.271651,109.556953,332
