,longitude,latitude,insertDate,uploader,firstLevelid,sheetName,filepath,province,city,country,village,street,oldProvince,oldCity,oldCountry,oldVillage,oldStreet,eastlongitude,northlatitude,population,nation,minorityInfo,dialectInfo,operaInfo,source,degree,area,slice,slices
06572,118.64,35.78,,,06572,,山东/沂水需交文件电子版/模板表/其他/概况.xls,山东,临沂市,沂水县,沂城,（无）,,,,,,,,113.2万（2012年数据）,汉族99.45%，共112.57万；回族0.51%，共0.57万；其他0.04%，共0.06万。（2012年数据）,（无）,沂水县全境皆属于官话方言区的胶辽官话青莱片，全县境内方言分歧较小，东北部的杨庄镇、官庄镇、马站镇、圈里乡等少数乡镇口音略有不同，但皆属于同一方言片。沂水方言使用人口100万余人。,有地方剧种：拉魂腔（又名拉呼腔或肘鼓子），该剧始于晚清，流传至今，遍及沂水县。,yubao,common,官话方言区,胶辽官话,青莱片
06561,117.64166666666667,36.291666666666664,,,06561,,山东/莱芜需交文件电子版/模板表/其他/概况.xls,山东,莱芜,莱城区,口镇,（无）,,,,,,,,至2015年，总人口68.94万,本区有汉族居民68.7159人。本区有少数民族居民2241人。其中回族有2121人，满族有24人，彝族有19人，壮族有13人，土家族有13人，其他10人以下。,（无）,莱芜话分布在莱城区各乡镇，使用人口98万，为本地普遍通用的方言，近年来变化较快，正在向普通话靠拢,本地区流行莱芜梆子。莱芜梆子以莱芜、泰安、新泰为主要活动区域。,yubao,common,官话,冀鲁官话,石济片
06570,116.06666666666666,37.21666666666667,,,06570,,山东/武城需交文件电子版/模板表/其他/概况.xls,山东,德州,武城,老城镇,三合村,,,,,,,,40万,汉族为主，回族、满族、蒙古族、壮族、土家族、苗族、哈尼族、独龙族、黎族、彝族、朝鲜族等16个少数民族成分，少数民族人口4380人，占武城县总人口的1.1%，其中回族人口4100人，少数民族主要分布在3个乡镇的9个自然村。,（无）,当地一般认为分西南和东北两种口音，东邻黄河故道，与平原县连接；南和夏津县交界；西、北两面隔卫运河，同河北省故城县相望。人口西南部25万，东北部15万。,运河号子，杨庄吕洼的柳子戏,yubao,common,官话大区冀鲁官话区,石济片,聊泰小片
06574,118.1,36.8,,,06574,,山东/张店需交文件电子版/模板表/其他/概况.xls,山东,淄博,张店,马尚,西北村,,,,,,,,76万,绝大部分人口为汉族，少数回族人口已汉化。,马尚镇以北九纪村为回民村，人口约300，已汉化。,本区方言南北差异大，东西差异小。张店以东中埠镇有淄博口音，张店东北卫固镇有桓台口音，胶济铁路以南原属淄川，是淄川口音，与张店口音差别很大。马尚与老城区在一些用词上有区别，如“过来”马尚是“kuə31lɛ0”城区是“kə31lɛ0”。,淄博市地方戏是周姑子，最早流行于周村，现称五音戏，还有五音戏剧团，马尚西寨村（姚家寨子）还有笛梆子。,yubao,common,冀鲁官话,石济片,聊泰小片
06575,119.36875,36.028888888888886,,,06575,,山东/诸城需交文件电子版/模板表/其他/概况.xls,山东,潍坊,诸城市,密州街道,臧家庄子,,,,,,,,截至2016年11月底，全市总人口共计1110058人。,截至2016年，全市共有民族30个。汉族人口为1108924人。其他29个常住少数民族共有人口1134人。其中满族345人，傣族135人，蒙古族81人，藏族5人，彝族29人，布依族1人，瑶族7人，土家族22人，傈僳族95人，拉祜族3人，土族2人，锡伯族14人，普米族3人，京族1人，阿昌族10人，回族55人，苗族43人，壮族22人，朝鲜族77人，侗族4人，白族51人，哈尼族9人，黎族40人，佤族38人，景颇族33人，布朗族2人，仡佬族2人，怒族1人，基诺族4人。,（无）,诸城全境皆为胶辽官话，但内部存在地域差异。密州、舜王、龙都以及相州南部等地较一致，与周边差异较大。东边与胶州近，北近安丘；西与沂水、莒县近，南边与五莲近。皇花、枳沟说“葱”为thuŋ213，说“菜”为thɛ31。城关与城里也有不同，如城里“粗”与“清”声母同为tθh，城关读音不同，“粗”为tθh，“清”为ȶh。,茂腔，诸城有茂腔剧团（后艺术团）。现在还很流行，常有群众比赛、会演等活动。除此，还有东路大鼓、竹板快书等说唱艺术形式。,yubao,common,胶辽官话区,青莱片,胶莲小片
06560,116.30833333333334,35.266666666666666,,,06560,,山东/金乡需交文件电子版/模板表/其他/概况.xls,山东,济宁,金乡,文庙,连桥,,,,,,,,2015年数据约为65万,"以汉族为主，占98.2%，回族、满族等其他少数民族约占0.81%,",（无）,本县方言单一，县域内均讲金乡话,金乡四平调，山东梆子、落子、渔鼓、琴书、大鼓、花鼓等，生旦净末丑行当齐全，流行民间。,yubao,common,中原官话区,兖菏片,金乡
06569,117.13333333333333,36.208333333333336,,,06569,,山东/泰安需交文件电子版/模板表/其他/概况.xls,山东,泰安,泰山区,岱庙办事处、财源办事处、泰前办事处,南关村、金山社区、青山新村,,,,,,,,62.24万（2011年）,汉族，60.5万；回族，1.68万；其他满蒙壮等26个少数民族，0.62万。,（无）,本地都说泰安话（属于北方方言冀鲁官话石济片聊泰小片），分布在本区各街道、各村庄，使用人口62.24万，为本地普遍通用的方言，近年来变化较快，正在向普通话靠拢。,山东梆子戏，泰山皮影戏，比较流行。,yubao,common,冀鲁官话,石济片,聊泰小片
06573,118.20833333333334,36.15,,,06573,,山东/沂源需交文件电子版/模板表/其他/概况.xls,山东,淄博市,沂源县,悦庄镇,（无）,,,,,,,,56万,回族7人；汉族约56万,（无）,本县大致有四种口音：县城所在的中心区域为一种，约6.1万人；东南片的张家坡和东里镇口音相似，有8.02万人口；西北片的鲁村镇口音自成一片，约有7.9万人；东北片的三岔乡，约有2.5万人。,无特色曲艺或地方戏，流行山东吕剧。,yubao,common,冀鲁官话,石济片,聊泰小片
06564,115.466576,35.282358,,,06564,,山东/牡丹需交文件电子版/模板表/其他/概况.xls,山东,菏泽市,牡丹区,东城街道,东安社区,,,,,,,,107.66万,牡丹区是汉族聚区，人口以汉族为主，少数民族人数很少，有回族、蒙古族等。,（无）,本区西南部一些地方接近东明县口音，古知庄章组字二分，庄组和知组二等、部分章组字读ts tsh s，章组大部分字读tɕ tɕh　ɕ。老城区东面和南面部分村子除了古知庄章组字二分与东明方言相同之外，古深臻摄阳声韵还读成ŋ韵尾与古曾梗摄阳声韵混同，如盆=朋，真=蒸。,牡丹区有“曲山书海”之称，是山东琴书、山东快书的发祥地。20世纪50年代至80年代是牡丹区曲艺的鼎盛时期，牡丹区流行的代表曲种有山东琴书、山东快书、河南坠子、山东大鼓、山东落子、花鼓、竹板书、大鼓书、评词、弦子鼓、三弦铰子书、道情、莺歌柳书等。,yubao,common,中原官话,兖菏片,（本片不分小片）
06571,115.875,36.11666666666667,,,06571,,山东/阳谷需交文件电子版/模板表/其他/概况.xls,山东,聊城市,阳谷县,博济桥街道办事处,司营村,,,,,,,,至2012年，79.48万,本县共有25个民族，其中汉族占总人口的99.66%。回、布依、满、壮、蒙古、苗、土家、朝鲜、白、达翰尔等24个少数民族共占总人口的0.34‰。在各少数民族中，回族占各少数民族总人口的98.9%。,（无）,阳谷方言可分三片：（1）城区片，包括县城、石佛、大布、西湖、四棚、高王庙、李台、金斗营八个乡及寿张乡的西半部。（2）小运河片，包括七级、阿城、张秋、安镇、范海、阎楼、石门宋、十五里元八个乡及郭屯乡、寿张乡的东半部。（3）徒骇河片。包括定水镇乡的全部和郭屯乡的西半部。,（无）,yubao,common,官话,中原官话,兖菏片
06562,118.281492,37.54796,,,06562,,山东/利津需交文件电子版/模板表/其他/概况.xls,山东,东营,利津,凤凰城街道,西冯村,,,,,,,,28.81,汉族，28.8万,少数民族21个，共一百余人,以利津话为主，陈庄镇靠近寿光的地区方言带有寿光口音，明集乡与沾化靠近，方言带有沾化口音,（无）,yubao,common,官话大区冀鲁官话区,沧惠片,章桓小片
06567,117.2,37.31666666666666,,,06567,,山东/商河需交文件电子版/模板表/其他/概况.xls,山东,济南,商河,许商,（无）,,,,,,,,64.19万,回族、蒙古族、土族、壮族、彝族、满族、布依族、维吾尔族、朝鲜族、藏族、佤族等，共约1万人。,（无）,境内方言属于官话方言的冀鲁官话，境内共有5种口音，县城一种，东边一种，南边一种，北边一种，东北边一种。,当地曾有迷戏，如今没落，少有演出。另有民间爱好者用方言创作、演出歌曲，未形成流派。,yubao,common,官话方言,冀鲁官话,石济片
06563,115.74166666666667,36.78333333333333,,,06563,,山东/临清需交文件电子版/模板表/其他/概况.xls,山东,聊城,临清,新华路，青年路，先锋路,（无）,,,,,,,,82.39万,31个少数民族，共18437人。,无。少数民族多为回族，语言与汉族无异。,境内方言属于官话方言冀鲁官话石济片，除市里外，东乡和南乡口音有差异（未做调查）。,有临清时调，是一种乐曲，配词演唱多用普通话。临清是“京剧之乡”，没有自己的方言曲艺或地方戏。,yubao,common,官话方言,冀鲁官话,石济片
06568,118.85,37.0,,,06568,,山东/寿光需交文件电子版/模板表/其他/概况.xls,山东,潍坊市,寿光市,圣城街道,北关村,,,,,,,,108.5万,主要为汉族，改革开放后因为婚姻或工作有少数民族迁入，数量很少。,（无）,本市方言均属北方方言，其中中部、西部、南部和东部属于古清声母入声字读阴平的冀鲁官话区，北部的田柳镇、营里镇，台头镇的牛头镇村，古清声母入声字读上声，古知庄章组字分读两类声母，属于胶辽官话区。,过去主要流行京剧，许多村有京剧戏班春节时演出。县里有京剧团。现在已很少有演出。,yubao,common,冀鲁官话,沧惠片,阳寿小片
06566,122.55833333333334,37.31666666666666,,,06566,,山东/荣成需交文件电子版/模板表/其他/概况.xls,山东,威海,荣成,崖头街道,（无）,,,,,,,,66.9万左右,汉族，66.9万左右,（无）,荣成讲荣成方言，有新、老派之分。整个荣成境内，西与文登接壤，西北与威海市相邻，东、南、北三面环海，接壤地口音与周边地市相影响。荣成有66.9万多人口。荣成方言属于胶辽官话，荣成方言中保留一些古音。,（无）,yubao,common,胶辽官话,登连片,烟威小片
06565,119.92263888888888,36.758472222222224,,,06565,,山东/平度需交文件电子版/模板表/其他/概况.xls,山东,青岛,平度,东阁,东阁,,,,,,,,135.36万,少数民族34个、1401人。其中土家族288人、朝鲜族229人、蒙古族220人、满族173人、苗族100人、彝族79人、傈僳族57人、壮族44人、回族44人、哈尼族23人、藏族23人、布依族18人、傣族15人、白族14人、维吾尔族12人、侗族11人、仫佬族7人、土族7人、黎族5人、达斡尔族4人、锡伯族4人、畲族3人、仡佬族3人、景颇族3人、俄罗斯族3人、撒拉族2人、鄂温克族2人、佤族2人、瑶族1人、哈萨克族1人、拉祜族1人、羌族1人、塔塔尔族1人、基诺族1人,（无）,平度方言语音的地域差异主要是南北不同，反映了青岛、潍坊一带方言与胶东方言的过渡性质。主要体现在：（1）“对、酸、村”等字的介音。南面部分地区存在有介音和无介音两读现象，有介音是青岛、潍坊方言的特点；北部多数地区没有介音，是胶东方言的特点。（2）“登东、争忠”等字的韵母读音。平度境内的中部及东南部地区“登东”同音、“争忠”同音，同青岛、潍坊方言；平度东部和西北部不同音，同胶东方言。（3）声调。平度境内大部分地区只有三个声调，跟莱州、莱西等地一致，只有西南边上靠潍坊地区的一些地方是四个声调，与昌邑等地一致。（4）“儿二耳”的读音。东北多读，同胶东；西南多读，同昌潍及山东中部地区。中间一些点两可。,（无）,yubao,common,胶辽官话,青莱片,青岛小片
