cid,CCR,zhongguoyuyan,simplified,traditional,character
317,18854,,乍,乍,乍
318,2679,,乎,乎,乎
319,25517,,乏,乏,乏
320,18557,,乐,樂,樂
321,20878,,乐,樂,樂
322,23154,,乐,樂,樂
323,5989,,乔,喬,喬
324,3376,,乖,乖,乖
325,19356,,乘,乘,乘
326,8328,,乘,乘,乘
327,21343,,乙,乙,乙
328,13231,,乜,乜,乜
329,13899,0362,九,九,九
330,21600,,乞,乞,乞
331,13197,,也,也,也
332,24608,0454,习,習,習
333,7059,,乡,鄉,鄉
334,2022,0089,书,書,書
335,11277,0141,买,買,買
336,17802,0561,乱,亂,亂
337,10970,,乳,乳,乳
338,12606,,了,了,了
339,10707,,予,予,予
340,2091,,予,予,予
341,7902,0851,争,爭,爭
342,15439,0236,事,事,事
343,15244,0224,二,二,二
344,2156,,于,於,於
345,2286,,于,于,于
346,2853,,于,於,於
347,920,0255,亏,虧,虧
348,4161,0701,云,云,云
349,4150,,云,雲,雲
350,15954,,互,互,互
351,11076,0076,五,五,五
352,,0871,井,,井
353,15268,,亖,亖,亖
354,18808,,亚,亞,亞
355,16134,,些,些,些
356,18712,,些,些,些
357,6994,,些,些,些
358,7193,,亡,亡,亡
359,19133,,亢,亢,亢
360,6077,0306,交,交,交
361,11470,,亥,亥,亥
362,23802,,亦,亦,亦
363,12129,0484,产,產,產
364,13382,,亨,亨,亨
365,7660,,亨,亨,亨
366,7687,,亨,亨,亨
367,7698,,京,京,京
368,8078,,亭,亭,亭
369,18966,0725,亮,亮,亮
370,13381,,亯,亯,亯
371,3797,0631,亲,親,親
372,17332,,亲,親,親
373,23266,,亳,亳,亳
374,22697,,亵,褻,褻
375,3794,0639,人,人,人
376,24307,,亿,億,億
377,24599,,什,什,什
378,3792,,仁,仁,仁
379,8099,,仃,仃,仃
380,24455,,仄,仄,仄
381,17305,,仅,僅,僅
382,20259,,仆,僕,僕
383,20678,,仆,僕,僕
384,24564,,仆,仆,仆
385,8798,,仇,仇,仇
386,9246,,今,今,今
387,16796,,介,介,介
388,8341,,仍,仍,仍
389,560,,从,從,從
390,561,,从,从,从
391,652,,从,從,從
392,4047,,仑,侖,侖
393,7378,0711,仓,倉,倉
394,10569,,仔,仔,仔
395,10556,,仕,仕,仕
396,6546,,他,他,他
397,13399,,仗,仗,仗
398,19020,,仗,仗,仗
399,15853,0100,付,付,付
400,5297,,仙,仙,仙
401,19,,仝,仝,仝
402,5450,,仝,仝,仝
403,17212,,仞,仞,仞
404,17057,,代,代,代
405,19266,,令,令,令
406,8165,,令,令,令
407,10491,,以,以,以
408,992,,仪,儀,儀
409,13353,,仰,仰,仰
410,19060,,仰,仰,仰
411,14732,,仲,仲,仲
412,11080,,仵,仵,仵
413,12434,0512,件,件,件
414,18802,,价,價,價
415,19767,0448,任,任,任
416,9152,,任,任,任
417,3969,,份,份,份
418,13419,,仿,仿,仿
419,14961,,企,企,企
420,10319,,企,企,企
421,2088,,伃,伃,伃
422,11678,,伆,伆,伆
423,19132,,伉,伉,伉
424,1441,,伊,伊,伊
425,11079,,伍,伍,伍
426,955,,伎,伎,伎
427,19566,,伏,伏,伏
428,20320,,伏,伏,伏
429,21614,,伐,伐,伐
430,8738,0367,休,休,休
431,14764,,众,眾,眾
432,76,,众,眾,眾
433,8465,0368,优,優,優
434,13171,,伙,夥,夥
435,11311,,伙,夥,夥
436,16611,0182,会,會,會
437,16635,,会,會,會
438,11961,0468,伞,傘,傘
439,10638,,伟,偉,偉
440,18262,0592,传,傳,傳
441,5628,0591,传,傳,傳
442,7063,0741,伤,傷,傷
443,7287,,伥,倀,倀
444,4037,,伦,倫,倫
445,7670,,伧,傖,傖
446,14993,,伪,僞,僞
447,10694,,伫,佇,佇
448,23429,,伯,伯,伯
449,11063,,估,估,估
450,10598,,伱,伱,伱
451,17857,,伴,伴,伴
452,12070,,伴,伴,伴
453,8143,,伶,伶,伶
454,3804,,伸,伸,伸
455,15377,,伺,伺,伺
456,10498,,似,似,似
457,6730,,伽,伽,伽
458,10499,,佀,佀,佀
459,18016,,佃,佃,佃
460,17664,,但,但,但
461,4690,,但,但,但
462,11964,,但,但,但
463,15035,0266,位,位,位
464,2965,0156,低,低,低
465,15865,0106,住,住,住
466,15747,,住,住,住
467,18690,,佐,佐,佐
468,19435,,佑,佑,佑
469,11170,,体,體,體
470,6571,,何,何,何
471,6512,,佗,佗,佗
472,6545,,佗,佗,佗
473,2073,0098,余,餘,餘
474,6946,,余,余,余
475,2069,,余,余,余
476,21162,,佚,佚,佚
477,21543,0703,佛,佛,佛
478,21575,,佛,彿,彿
479,23200,0718,作,作,作
480,18695,,作,作,作
481,16032,,作,作,作
482,19743,,佝,佝,佝
483,19304,,佞,佞,佞
484,488,,佣,傭,傭
485,9546,,佥,僉,僉
486,16942,,佩,佩,佩
487,24781,,佮,佮,佮
488,7008,,佯,佯,佯
489,3263,,佳,佳,佳
490,17122,,佴,佴,佴
491,5667,,佻,佻,佻
492,6094,,佼,佼,佼
493,10514,0237,使,使,使
494,15420,,使,使,使
495,11995,,侃,侃,侃
496,21101,0650,侄,侄,侄
497,10244,,侈,侈,侈
498,18785,,侉,侉,侉
499,16481,,例,例,例
500,15436,,侍,侍,侍
501,2472,,侏,侏,侏
502,8869,,侔,侔,侔
503,18833,,侘,侘,侘
504,14790,,供,供,供
505,635,,供,供,供
506,8789,,侜,侜,侜
507,1993,,依,依,依
508,25212,,侠,俠,俠
509,10689,,侣,侶,侶
510,5774,,侥,僥,僥
511,7963,,侦,偵,偵
512,24459,0822,侧,側,側
513,5992,,侨,僑,僑
514,16621,,侩,儈,儈
515,3396,,侪,儕,儕
516,410,,侬,儂,儂
517,10876,,侮,侮,侮
518,8889,,侯,侯,侯
519,9084,,侵,侵,侵
520,22154,,侻,侻,侻
521,18286,0499,便,便,便
522,5423,,便,便,便
523,20832,,促,促,促
524,6538,,俄,俄,俄
525,8818,,俅,俅,俅
526,19076,,俇,俇,俇
527,17365,0679,俊,俊,俊
528,17364,,俊,儁,儁
529,10864,,俌,俌,俌
530,10786,,俎,俎,俎
531,18425,,俏,俏,俏
532,9956,,俑,俑,俑
533,20840,,俗,俗,俗
534,2541,,俘,俘,俘
535,10530,,俚,俚,俚
536,12974,,保,保,保
537,2428,,俞,俞,俞
538,10560,,俟,俟,俟
539,17197,,信,信,信
540,8757,,俦,儔,儔
541,14577,,俨,儼,儼
542,16251,,俪,儷,儷
543,14481,,俭,儉,儉
544,8612,0352,修,修,修
545,10856,,俯,俯,俯
546,2631,,俱,俱,俱
547,18460,,俵,俵,俵
548,14783,,俸,俸,俸
549,19961,,俺,俺,俺
550,20072,,俺,俺,俺
551,15123,,俻,俻,俻
552,10218,,俾,俾,俾
553,4842,,倌,倌,倌
554,11500,,倍,倍,倍
555,20501,,倏,倏,倏
556,18583,,倒,倒,倒
557,12921,,倒,倒,倒
558,21534,,倔,倔,倔
559,19600,,候,候,候
560,10122,,倚,倚,倚
561,18895,0042,借,借,借
562,23777,,借,借,借
563,19050,,倡,倡,倡
564,7104,,倡,倡,倡
565,13436,,倣,倣,倣
566,186,,倥,倥,倥
567,18202,,倦,倦,倦
568,15623,,倨,倨,倨
569,17966,,倩,倩,倩
570,19251,,倩,倩,倩
571,3106,,倪,倪,倪
572,20930,,倬,倬,倬
573,13157,,倭,倭,倭
574,6715,,倭,倭,倭
575,16768,,债,債,債
576,15362,,值,值,值
577,8012,,倾,傾,傾
578,8367,,偁,偁,偁
579,11757,,偃,偃,偃
580,13208,0034,假,假,假
581,18803,,假,假,假
582,3451,,偎,偎,偎
583,18270,,偏,偏,偏
584,5417,,偏,偏,偏
585,17874,,偐,偐,偐
586,3342,,偕,偕,偕
587,,0069,做,,做
588,8073,0894,停,停,停
589,17537,0524,健,健,健
590,24401,,偪,偪,偪
591,9864,,偬,偬,偬
592,14080,,偶,偶,偶
593,19747,,偶,偶,偶
594,8985,0333,偷,偷,偷
595,8942,,偻,僂,僂
596,19038,,偿,償,償
597,7224,,偿,償,償
598,11399,,傀,傀,傀
599,3485,,傀,傀,傀
600,15855,,傅,傅,傅
601,19117,,傍,傍,傍
602,7555,,傍,傍,傍
603,20633,,傗,傗,傗
604,18471,,傚,傚,傚
605,5889,,傜,傜,傜
606,3825,,傧,儐,儐
607,2193,,储,儲,儲
608,6566,,傩,儺,儺
609,3522,,催,催,催
610,18594,,傲,傲,傲
611,13302,,傻,傻,傻
612,18931,,傻,傻,傻
613,17523,,傿,傿,傿
614,18405,,僄,僄,僄
615,18038,,僆,僆,僆
616,12423,,僆,僆,僆
617,5298,,僊,僊,僊
618,13312,0730,像,像,像
619,11570,,僒,僒,僒
620,5745,,僚,僚,僚
621,8391,0800,僧,僧,僧
622,19989,,僭,僭,僭
623,21,,僮,僮,僮
624,7123,,僵,殭,殭
625,7128,,僵,僵,僵
626,23944,,僻,僻,僻
627,23986,,僻,僻,僻
628,13598,,儆,儆,儆
629,19187,,儆,儆,儆
630,19853,,儑,儑,儑
631,2362,,儒,儒,儒
632,10874,,儛,儛,儛
633,11359,,儡,儡,儡
634,5958,,儦,儦,儦
635,12065,,儹,儹,儹
636,17040,,儽,儽,儽
637,1018,0205,儿,兒,兒
638,3118,,儿,兒,兒
639,21821,,兀,兀,兀
640,11631,,允,允,允
641,9282,,兂,兂,兂
642,4298,,元,元,元
643,7725,0912,兄,兄,兄
644,165,0956,充,充,充
645,12676,,兆,兆,兆
646,5074,0537,先,先,先
647,17958,,先,先,先
648,7467,0759,光,光,光
649,24516,,克,克,克
650,12552,,免,免,免
651,16616,,兑,兌,兌
652,15917,,兔,兔,兔
653,12467,,兖,兗,兗
654,13518,0707,党,黨,黨
655,9023,,兜,兜,兜
656,8349,,兢,兢,兢
657,24630,0457,入,入,入
658,5449,0588,全,全,全
659,22234,0488,八,八,八
660,192,0931,公,公,公
661,20366,0964,六,六,六
662,3090,,兮,兮,兮
663,4720,0465,兰,蘭,蘭
664,14787,0986,共,共,共
665,4941,0581,关,關,關
666,19374,0816,兴,興,興
667,8362,,兴,興,興
668,7724,0857,兵,兵,兵
669,1688,,其,其,其
670,15840,,具,具,具
671,12200,0530,典,典,典
672,1849,,兹,茲,茲
673,1850,,兹,茲,茲
674,13305,,养,養,養
675,18959,,养,養,養
676,19991,,兼,兼,兼
677,9684,,兼,兼,兼
678,19477,,兽,獸,獸
679,15222,,兾,兾,兾
680,15221,,冀,冀,冀
681,17037,,内,內,內
682,7385,,冈,岡,岡
683,14493,,冉,冉,冉
684,9580,,冉,冉,冉
685,23642,,册,冊,冊
686,17072,,再,再,再
687,13264,,冎,冎,冎
688,18610,,冒,冒,冒
689,12558,,冕,冕,冕
690,13226,0043,写,寫,寫
691,4243,0698,军,軍,軍
692,401,,农,農,農
693,17779,,冠,冠,冠
694,4840,,冠,冠,冠
695,206,,冡,冡,冡
696,9938,,冢,冢,冢
697,9939,,冢,塚,塚
698,4405,0611,冤,冤,冤
699,8234,,冥,冥,冥
700,8320,,冫,冫,冫
701,361,0943,冬,冬,冬
702,143,,冯,馮,馮
703,8321,0810,冰,冰,冰
704,465,0984,冲,衝,衝
705,68,,冲,沖,沖
706,22484,0620,决,決,決
707,22461,,决,決,決
708,19070,,况,況,況
709,19071,,况,况,况
710,13198,,冶,冶,冶
711,13659,0833,冷,冷,冷
712,11,0919,冻,凍,凍
713,14689,,冻,凍,凍
714,22719,,冽,冽,冽
715,19280,,净,淨,淨
716,2957,,凄,淒,淒
717,2958,,凄,凄,凄
718,2959,,凄,悽,悽
719,15934,,凅,凅,凅
720,11626,0681,准,准,准
721,11625,,准,準,準
722,18980,,凉,涼,涼
723,7043,,凉,涼,涼
724,7044,,凉,凉,凉
725,19252,,凊,凊,凊
726,5682,,凋,凋,凋
727,8294,,凌,淩,淩
728,8297,,凌,凌,凌
729,14609,0399,减,減,減
730,19715,0338,凑,湊,湊
731,14190,,凛,凜,凜
732,19390,,凝,凝,凝
733,8361,,凝,凝,凝
734,10617,0246,几,幾,幾
735,10351,,几,几,几
736,1974,,几,幾,幾
737,9818,,凡,凡,凡
738,14669,0951,凤,鳳,鳳
739,2505,,凫,鳧,鳧
740,8315,,凭,凭,凭
741,8317,,凭,憑,憑
742,11441,,凯,凱,凱
743,7455,,凰,凰,凰
744,19398,0796,凳,凳,凳
745,516,0987,凶,凶,凶
746,522,,凶,兇,兇
747,17030,,凷,凷,凷
748,21792,,凸,凸,凸
749,25402,,凹,凹,凹
750,21458,0690,出,出,出
751,15338,,出,出,出
752,23972,0908,击,擊,擊
753,9345,,函,函,函
754,9706,,函,函,函
755,20244,,凿,鑿,鑿
756,23310,,凿,鑿,鑿
757,6339,0280,刀,刀,刀
758,5680,,刁,刁,刁
759,17208,,刃,刃,刃
760,4219,0692,分,分,分
761,17443,,分,分,分
762,22417,0549,切,切,切
763,16125,,切,切,切
764,17178,,刈,刈,刈
765,4738,,刊,刊,刊
766,2262,,刍,芻,芻
767,11676,,刎,刎,刎
768,8056,,刑,刑,刑
769,23591,0911,划,劃,劃
770,6798,,划,划,划
771,4773,,刓,刓,刓
772,21604,,刖,刖,刖
773,22712,0516,列,列,列
774,8481,,刘,劉,劉
775,24494,,则,則,則
776,7387,,刚,剛,剛
777,19052,,创,創,創
778,7190,,创,創,創
779,2020,0086,初,初,初
780,4936,,删,刪,刪
781,17846,0554,判,判,判
782,15164,,利,利,利
783,22863,0514,别,別,別
784,22874,,别,別,別
785,12152,,刬,剗,剗
786,22360,0587,刮,刮,刮
787,18581,,到,到,到
788,19051,,刱,刱,刱
789,18781,,刴,刴,刴
790,16401,0152,制,制,制
791,16405,,制,製,製
792,22377,0586,刷,刷,刷
793,22876,,刷,刷,刷
794,17477,,券,券,券
795,22349,,刹,剎,剎
796,14910,0201,刺,刺,刺
797,23889,,刺,刺,刺
798,24515,0808,刻,刻,刻
799,16634,,刽,劊,劊
800,14911,,刾,刾,刾
801,16066,,剂,劑,劑
802,16080,0158,剃,剃,剃
803,18748,,剉,剉,剉
804,23040,0752,削,削,削
805,21957,,剌,剌,剌
806,5078,0536,前,前,前
807,13265,,剐,剮,剮
808,,0423,剑,,剑
809,24105,,剔,剔,剔
810,14114,,剖,剖,剖
811,10919,,剖,剖,剖
812,4794,,剜,剜,剜
813,20934,0786,剥,剝,剝
814,23437,0867,剧,劇,劇
815,19362,0814,剩,剩,剩
816,12399,0503,剪,剪,剪
817,19506,0347,副,副,副
818,22003,0478,割,割,割
819,20369,,剹,剹,剹
820,1780,,剺,剺,剺
821,5964,,剽,剽,剽
822,25398,,劄,劄,劄
823,23981,0903,劈,劈,劈
824,20069,,劔,劔,劔
825,24227,0819,力,力,力
826,17479,0609,劝,勸,勸
827,17941,0481,办,辦,辦
828,193,,功,功,功
829,6829,,加,加,加
830,15823,,务,務,務
831,22846,,劣,劣,劣
832,17458,,劤,劤,劤
833,9895,0924,动,動,動
834,15690,,助,助,助
835,11116,,努,努,努
836,25487,,劫,劫,劫
837,16484,,励,勵,勵
838,19250,0658,劲,勁,勁
839,18624,,劳,勞,勞
840,6272,,劳,勞,勞
841,18467,,効,効,効
842,16884,,劾,劾,劾
843,24579,,劾,劾,劾
844,16513,,势,勢,勢
845,21748,,勃,勃,勃
846,24237,,勅,勅,勅
847,9943,,勇,勇,勇
848,12554,,勉,勉,勉
849,4232,,勋,勳,勳
850,4233,,勋,勛,勛
851,24497,,勒,勒,勒
852,19812,,勘,勘,勘
853,15882,,募,募,募
854,4273,0659,勤,勤,勤
855,13348,,勥,勥,勥
856,12779,,勦,勦,勦
857,25209,,勰,勰,勰
858,23029,0754,勺,勺,勺
859,22985,,勺,勺,勺
860,8691,,勼,勼,勼
861,21481,,勿,勿,勿
862,4072,0688,匀,勻,勻
863,16553,,匃,匃,匃
864,6159,0297,包,包,包
865,524,,匈,匈,匈
866,2653,,匍,匍,匍
867,6207,,匏,匏,匏
868,20349,,匐,匐,匐
869,18921,0055,化,化,化
870,24556,0802,北,北,北
871,1008,,匙,匙,匙
872,19026,0728,匠,匠,匠
873,7256,,匡,匡,匡
874,25412,,匣,匣,匣
875,7548,,匨,匨,匨
876,10627,,匪,匪,匪
877,9514,,匳,匳,匳
878,19496,,匶,匶,匶
879,21142,0646,匹,匹,匹
880,2462,0114,区,區,區
881,8917,,区,區,區
882,1825,,医,醫,醫
883,12253,,匾,匾,匾
884,24294,,匿,匿,匿
885,24598,0456,十,十,十
886,5084,,千,千,千
887,5317,,千,韆,韆
888,8336,0815,升,升,升
889,8337,,升,昇,昇
890,11077,,午,午,午
891,15542,,卉,卉,卉
892,10653,,卉,卉,卉
893,17839,0553,半,半,半
894,6789,0056,华,華,華
895,6806,,华,華,華
896,18917,,华,華,華
897,25207,0436,协,協,協
898,1093,,卑,卑,卑
899,21411,0676,卒,卒,卒
900,21901,,卒,卒,卒
901,20921,,卓,卓,卓
902,4645,0461,单,單,單
