# 客語
id,從化(呂田)_聲母,從化(呂田)_韻母,從化(呂田)_調值,從化(呂田)_調類,河源(廣東)_聲母,河源(廣東)_韻母,河源(廣東)_調值,河源(廣東)_調類,揭西(廣東)_聲母,揭西(廣東)_韻母,揭西(廣東)_調值,揭西(廣東)_調類,梅縣(廣東)_聲母,梅縣(廣東)_韻母,梅縣(廣東)_調值,梅縣(廣東)_調類,惠州(市區)_聲母,惠州(市區)_韻母,惠州(市區)_調值,惠州(市區)_調類,東莞(清溪)(客贛方言調查報告)_聲母,東莞(清溪)(客贛方言調查報告)_韻母,東莞(清溪)(客贛方言調查報告)_調值,東莞(清溪)(客贛方言調查報告)_調類,東莞(清溪)_聲母,東莞(清溪)_韻母,東莞(清溪)_調值,東莞(清溪)_調類,深圳(沙頭角)_聲母,深圳(沙頭角)_韻母,深圳(沙頭角)_調值,深圳(沙頭角)_調類,沙頭角麻雀嶺(香港新界)_聲母,沙頭角麻雀嶺(香港新界)_韻母,沙頭角麻雀嶺(香港新界)_調值,沙頭角麻雀嶺(香港新界)_調類,西貢荔枝莊(香港新界)_聲母,西貢荔枝莊(香港新界)_韻母,西貢荔枝莊(香港新界)_調值,西貢荔枝莊(香港新界)_調類,沙田赤泥坪(香港新界)_聲母,沙田赤泥坪(香港新界)_韻母,沙田赤泥坪(香港新界)_調值,沙田赤泥坪(香港新界)_調類,香港_聲母,香港_韻母,香港_調值,香港_調類,屯門楊小坑(香港新界)_聲母,屯門楊小坑(香港新界)_韻母,屯門楊小坑(香港新界)_調值,屯門楊小坑(香港新界)_調類,連南(廣東)_聲母,連南(廣東)_韻母,連南(廣東)_調值,連南(廣東)_調類,翁源(廣東)_聲母,翁源(廣東)_韻母,翁源(廣東)_調值,翁源(廣東)_調類,寧化(福建)_聲母,寧化(福建)_韻母,寧化(福建)_調值,寧化(福建)_調類,長汀(福建)_聲母,長汀(福建)_韻母,長汀(福建)_調值,長汀(福建)_調類,武平(福建)_聲母,武平(福建)_韻母,武平(福建)_調值,武平(福建)_調類,秀篆(福建詔安)_聲母,秀篆(福建詔安)_韻母,秀篆(福建詔安)_調值,秀篆(福建詔安)_調類,寧都(江西)_聲母,寧都(江西)_韻母,寧都(江西)_調值,寧都(江西)_調類,寧都縣梅江鎮_聲母,寧都縣梅江鎮_韻母,寧都縣梅江鎮_調值,寧都縣梅江鎮_調類,石城_聲母,石城_韻母,石城_調值,石城_調類,龍南_聲母,龍南_韻母,龍南_調值,龍南_調類,定南_聲母,定南_韻母,定南_調值,定南_調類,全南_聲母,全南_韻母,全南_調值,全南_調類,全南縣城廂鎮_聲母,全南縣城廂鎮_韻母,全南縣城廂鎮_調值,全南縣城廂鎮_調類,于都_聲母,于都_韻母,于都_調值,于都_調類,上猶縣社溪鄉江頭_聲母,上猶縣社溪鄉江頭_韻母,上猶縣社溪鄉江頭_調值,上猶縣社溪鄉江頭_調類,贛縣(江西蟠龍鎮)_聲母,贛縣(江西蟠龍鎮)_韻母,贛縣(江西蟠龍鎮)_調值,贛縣(江西蟠龍鎮)_調類,上猶(江西)_聲母,上猶(江西)_韻母,上猶(江西)_調值,上猶(江西)_調類,南康_聲母,南康_韻母,南康_調值,南康_調類,南康市蓉江鎮_聲母,南康市蓉江鎮_韻母,南康市蓉江鎮_調值,南康市蓉江鎮_調類,大余(江西)_聲母,大余(江西)_韻母,大余(江西)_調值,大余(江西)_調類,安遠縣欣山鎮_聲母,安遠縣欣山鎮_韻母,安遠縣欣山鎮_調值,安遠縣欣山鎮_調類,安遠_聲母,安遠_韻母,安遠_調值,安遠_調類,修水縣黃沙橋鄉_聲母,修水縣黃沙橋鄉_韻母,修水縣黃沙橋鄉_調值,修水縣黃沙橋鄉_調類,澡溪_聲母,澡溪_韻母,澡溪_調值,澡溪_調類,三都(江西銅鼓)_聲母,三都(江西銅鼓)_韻母,三都(江西銅鼓)_調值,三都(江西銅鼓)_調類,銅鼓_聲母,銅鼓_韻母,銅鼓_調值,銅鼓_調類,井岡山_聲母,井岡山_韻母,井岡山_調值,井岡山_調類,信宜思賀_聲母,信宜思賀_韻母,信宜思賀_調值,信宜思賀_調類,信宜錢排_聲母,信宜錢排_韻母,信宜錢排_調值,信宜錢排_調類,陽春三甲_聲母,陽春三甲_韻母,陽春三甲_調值,陽春三甲_調類,高州新垌_聲母,高州新垌_韻母,高州新垌_調值,高州新垌_調類,廉江石角_聲母,廉江石角_韻母,廉江石角_調值,廉江石角_調類,陽西塘口_聲母,陽西塘口_韻母,陽西塘口_調值,陽西塘口_調類,電白沙琅_聲母,電白沙琅_韻母,電白沙琅_調值,電白沙琅_調類,化州新安_聲母,化州新安_韻母,化州新安_調值,化州新安_調類,廉江青平_聲母,廉江青平_韻母,廉江青平_調值,廉江青平_調類,梧州西河(蒙山)_聲母,梧州西河(蒙山)_韻母,梧州西河(蒙山)_調值,梧州西河(蒙山)_調類,南寧馬山(片聯)_聲母,南寧馬山(片聯)_韻母,南寧馬山(片聯)_調值,南寧馬山(片聯)_調類,玉林興業(高峰鄉)_聲母,玉林興業(高峰鄉)_韻母,玉林興業(高峰鄉)_調值,玉林興業(高峰鄉)_調類,玉林容縣(縣底鎮縣底村)_聲母,玉林容縣(縣底鎮縣底村)_韻母,玉林容縣(縣底鎮縣底村)_調值,玉林容縣(縣底鎮縣底村)_調類,玉林北流(西埌鎮木棉村)_聲母,玉林北流(西埌鎮木棉村)_韻母,玉林北流(西埌鎮木棉村)_調值,玉林北流(西埌鎮木棉村)_調類,玉林北流(塘岸)_聲母,玉林北流(塘岸)_韻母,玉林北流(塘岸)_調值,玉林北流(塘岸)_調類,玉林福綿(橋鎮新沙村)_聲母,玉林福綿(橋鎮新沙村)_韻母,玉林福綿(橋鎮新沙村)_調值,玉林福綿(橋鎮新沙村)_調類,玉林陸川(客贛方言調查報告)_聲母,玉林陸川(客贛方言調查報告)_韻母,玉林陸川(客贛方言調查報告)_調值,玉林陸川(客贛方言調查報告)_調類,玉林陸川(橫山鄉四和村)_聲母,玉林陸川(橫山鄉四和村)_韻母,玉林陸川(橫山鄉四和村)_調值,玉林陸川(橫山鄉四和村)_調類,玉林博白(新田鎮村頭村)_聲母,玉林博白(新田鎮村頭村)_韻母,玉林博白(新田鎮村頭村)_調值,玉林博白(新田鎮村頭村)_調類,中山(南蓢合水)_聲母,中山(南蓢合水)_韻母,中山(南蓢合水)_調值,中山(南蓢合水)_調類,曼谷(半山客話)_聲母,曼谷(半山客話)_韻母,曼谷(半山客話)_調值,曼谷(半山客話)_調類,馬來西亞(柔佛士乃客家話)_聲母,馬來西亞(柔佛士乃客家話)_韻母,馬來西亞(柔佛士乃客家話)_調值,馬來西亞(柔佛士乃客家話)_調類,中山(五桂山、南蓈)_聲母,中山(五桂山、南蓈)_韻母,中山(五桂山、南蓈)_調值,中山(五桂山、南蓈)_調類
2170,l,u,35,陽平,,,,,,,,,,,,,l,u,11,陽平,,,,,l,u,11,陽平,l,u,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,u,13,陽平,,,,,,,,,,,,,,,,,l,u,211,陽平,,,,,l,u,11,陽平,,,,,,,,,,,,,l,u,11,陽平,,,,,l,u,24,陽平,,,,,l,u,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,u,213,陽平,l,u,213,陽平,l,u,11,陽平,l,u,11,陽平,l,u,24,陽平,l,u,11,陽平,,,,,l,u,23,陽平,l,u,23,陽平,l,u,21,陽平,l,u,24,陽平,l,u,21,陽平,,,,
2173,l,u,35,陽平,,,,,,,,,l,u,11,陽平,l,u,11,陽平,,,,,l,u,11,陽平,l,u,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,i,11,陽平,,,,,,,,,,,,,,,,,,,,,l,u,24,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,u,213,陽平,l,u,213,陽平,l,u,11,陽平,l,u,11,陽平,l,u,24,陽平,l,u,11,陽平,,,,,l,u,23,陽平,l,u,23,陽平,l,u,21,陽平,l,u,24,陽平,,,,,,,,
2184,ts,y,44,陰平,,,,,,,,,ts,u,44,陰平,ts,y,33,陰平,,,,,ts,u,33,陰平,ts,u,33,陰平,tʃ,u,34,陰平,tʃ,u,34,陰平,tʃ,u,34,陰平,,,,,tʃ,u,34,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,u,42,陰平,,,,,,,,,,,,,,,,,ts,u,24,陰平,,,,,,,,,,,,,,,,,,,,,ts,u,44,陰平,,,,,,,,,,,,,tʂ,u,24,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʃ,y,33,陰平,ts,u,33,陰平,ts,u,33,陰平,ts,u,44,陰平,tʃ,u,55,陰平,ts,u,44,陰平,,,,,ts,ʯ,44,陰平,ts,ʯ,44,陰平,ts,i/u,33,陰平,ts,u,33,陰平,ts,u,33,陰平,,,,
2191,tsʰ,y,35,陽平,tsʰ,y,31,陽平,tʃʰ,u,24,陽平,tsʰ,u,11,陽平,tsʰ,y,11,陽平,tsʰ,iu,11,陽平,tsʰ,iu,11,陽平,tsʰ,u,11,陽平,tʃʰ,u,21,陽平,tʃʰ,u,21,陽平,tʃʰ,u,21,陽平,tsʰ,iu,21,陽平,tʃʰ,u,21,陽平,tʃʰ,y,24,陽平,tsʰ,y,51,陽平,tsʰ,u,35,陽平,tʃʰ,ʉ,24,陽平,tsʰ,u,22,陽平,tʃʰ,y,54,陽平,tsʰ,u,24,陽平,tsʰ,u,13,陽平,tsʰ,u,24,陽平,tsʰ,u,312,陽平,tsʰ,u,213,陽平,tsʰ,u,11,陽平,tsʰ,u,211,陽平,tʃʰ,u,44,陽平,tɕʰ,y,11,陽平,tsʰ,u,211,陽平,tɕʰ,y,11,陽平,tsʰ,u,11,陽平,s/tsʰ,u/əŋ,11/44,陰平/陽平,tɕʰ,y,11,陽平,tsʰ,ɿ,24,陽平,tsʰ,ɿ,24,陽平,tsʰ,u,13,陽平,tʰ,u,13,陽平,tʂʰ,u,13,陽平,tʂʰ,u,13,陽平,tsʰ,u,11,陽平,tsʰ,y,24,陽平,tsʰ,y,23,陽平,tsʰ,u,12,陽平,tsʰ,y,24,陽平,tsʰ,u,12,陽平,tsʰ,u,24,陽平,tsʰ,i,213,陽平,tsʰ,i,35,陽平,tsʰ,u,24,陽平,tʃʰ,u,22,陽平,tʃʰ,y,213,陽平,tsʰ,u,213,陽平,ts,u,11,陽平,tsʰ,u,11,陽平,tʃʰ,u,24,陽平,tsʰ,u,11,陽平,tsʰ,u,13,陽平,tsʰ,u,23,陽平,tsʰ,ʯ,23,陽平,tsʰ,u,21,陽平,tsʰ,u,24,陽平,tsʰ,u,21,陽平,,,,
2193,tsʰ,y,35,陽平,,,,,,,,,s,u,11,陽平,s,y,11,陽平,,,,,tsʰ,u,11,陽平,s,u,11,陽平,tʃʰ,u,31,上聲,tʃʰ,u,34,陰平,tʃʰ,u,31,上聲,,,,,tʃʰ,u,34,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,u,13,陽平,,,,,,,,,,,,,,,,,tsʰ,u,211,陽平,,,,,tɕʰ,y,11,陽平,,,,,,,,,,,,,tsʰ,u,11,陽平,,,,,,,,,,,,,tsʰ,u,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʃʰ,y,213,陽平,tsʰ,u,213,陽平,ts,u,11,陽平,tsʰ,u,11,陽平,tʃʰ,u,42,陰上,tsʰ,u,11,陽平,,,,,tsʰ,u,23,陽平,tsʰ,ʯ,23,陽平,tsʰ,iu,52,上聲,s,u,24,陽平,tsʰ,u,21,陽平,,,,
2204,z,y,35,陽平,,,,,,,,,0,i,11,陽平,z,y,11,陽平,,,,,z,i,11,陽平,z,i,11,陽平,j,i,21,陽平,ʒ,i,21,陽平,ʒ,i,21,陽平,,,,,j,i,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,u,13,陽平,,,,,,,,,,,,,,,,,0,ɜ,211,陽平,,,,,j,y,11,陽平,,,,,,,,,,,,,,,,,,,,,0,ɚ,24,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,y,213,陽平,z,i,213,陽平,ŋ,y,11,陽平,l,u,11,陽平,tʃʰ,u,24,陽平,s,u,11,陽平,,,,,z,ʯ,23,陽平,z,i,23,陽平,ɲ,i,21,陽平,ŋ,i,24,陽平,l,u,21,陽平,,,,
2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,ui,33,陰平,,,,
2219,s,y,44,陰平,,,,,,,,,h,i,44,陰平,h,y,33,陰平,,,,,h,i,33,陰平,h,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɕ,iɛ,42,陰平,,,,,,,,,,,,,,,,,,,,,,,,,ɕ,y,24,陰平,,,,,,,,,,,,,ɕ,y,44,陰平,,,,,,,,,,,,,ɕ,i,24,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʃ,y,33,陰平,s,ɿ,33,陰平,h,i,33,陰平,s,i,44,陰平,h,i,55,陰平,s,i,44,陰平,,,,,s,ʯ,44,陰平,h,i,44,陰平,h,i,33,陰平,h,i,33,陰平,h,i,33,陰平,,,,
2235,s,y,35,陽平,,,,,,,,,,,,,,,,,,,,,,,,,s,u,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,z,y,35,陽平,,,,,,,,,ȵ,i,11,陽平,z,y,11,陽平,,,,,g,i,11,陽平,g,i,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,i,211,陽平,,,,,jj,y,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,i,213,陽平,ŋ,i,213,陽平,z,y,11,陽平,ŋ,i,11,陽平,ȵ,i,24,陽平,,,,,,,,,z,ʯ,23,陽平,ŋ,i,23,陽平,ɲ,i,21,陽平,ŋ,u,24,陽平,,i,21,陽平,,,,
2243,z,y,35,陽平,,,,,,,,,,,,,z,y,11,陽平,,,,,g,i,11,陽平,g,i,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,i,211,陽平,,,,,j,y,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,i,213,陽平,ŋ,i,213,陽平,z,y,11,陽平,ŋ,i,11,陽平,ȵ,i,24,陽平,,,,,,,,,z,ʯ,23,陽平,ŋ,i,23,陽平,ɲ,i,21,陽平,ŋ,u,24,陽平,,i,21,陽平,,,,
2244,z,y,35,陽平,,,,,,,,,ȵ,i,11,陽平,ɲ,y,11,陽平,,,,,g,i,11,陽平,g,i,11,陽平,ɡ,i,21,陽平,ɡ,i,21,陽平,ɡ,i,21,陽平,,,,,j,i,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,i,211,陽平,,,,,j,y,11,陽平,,,,,,,,,,,,,n,i,11,陽平,,,,,n,i,24,陽平,,,,,n,i,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ŋ,i,213,陽平,ŋ,i,213,陽平,z,y,11,陽平,ŋ,i,11,陽平,ȵ,i,24,陽平,ŋ,y,52,去聲,,,,,z,ʯ,23,陽平,0,n̩,23,陽平,ɲ,i,21,陽平,ŋ,ɔi,24,陽平,,i,21,陽平,,,,
2245,z,y,35,陽平,,,,,,,,,ŋ,u,11,陽平,z,y,11,陽平,,,,,g,i,11,陽平,g,i,11,陽平,j,i,21,陽平,ʒ,i,21,陽平,ʒ,i,21,陽平,,,,,j,i,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,y,55,去聲,,,,,,,,,,,,,0,i,53,去聲,,,,,j,i,55,陽去,,,,,n,i,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,i,213,陽平,ŋ,u,42,去聲,z,y,11,陽平,ŋ,i,11,陽平,ȵ,i,24,陽平,0,n̩,11,陽平,,,,,0,n̩,21,上聲,0,n̩,23,陽平,ɲ,i,21,陽平,ŋ,u,24,陽平,,i,21,陽平,,,,
2264,m,u,35,陽平,,,,,,,,,m/v,ɔ/u,11,陽平,m,u,11,陽平,,,,,v,u,11,陽平,m,u,11,陽平,v,u,21,陽平,v,u,21,陽平,v,u,21,陽平,,,,,v,u,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,au,13,陽平,,,,,,,,,,,,,,,,,m/v,au/u,211,陽平,,,,,m/v,ɔ/u,11,陽平,,,,,,,,,,,,,v,u,11,陽平,,,,,m/v,ɔ/u,24,陽平,,,,,m/v,au/u,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,u,213,陽平,v,u,213,陽平,m,u,11,陰平,m,u,11,陽平,0,u,24,陽平,m,u,44,陰平,,,,,m,ɔ,23,陽平,m,ɔ,23,陽平,m,u,21,陽平,m,u,24,陽平,v,u,21,陽平,,,,
2269,m,u,35,陽平,,,,,,,,,,,,,m,u,11,陽平,,,,,m,u,11,陽平,m,u,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,u,13,陽平,,,,,,,,,,,,,,,,,v,u,211,陽平,,,,,,,,,,,,,,,,,,,,,v,u,11,陽平,,,,,v,u,24,陽平,,,,,v,u,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,u,55,陰去,m,u,33,陰平,m,u,33,陽平,m,u,44,陰平,m,u,55,陰平,m,u,44,陰平,,,,,m,u,44,陰平,m,u,21,上聲,m,u,21,陽平,m,u,24,陽平,,,,,,,,
2270,m,u,35,陽平,,,,,,,,,,,,,m,u,11,陽平,,,,,m,u,11,陽平,m,u,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,u,13,陽平,,,,,,,,,,,,,,,,,v,u,211,陽平,,,,,,,,,,,,,,,,,,,,,m,u,11,陽平,,,,,v,u,24,陽平,,,,,v,u,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,u,55,陰去,m,u,33,陰平,m,u,33,陽平,m,u,44,陰平,m,u,55,陰平,m,u,44,陰平,,,,,m,u,44,陰平,m,u,21,上聲,m,u,21,陽平,m,u,24,陽平,,u,33,陰平,,,,
2286,z,y,35,陽平,,,,,,,,,0,i,44,陰平,0,y,33,陰平,,,,,z,i,33,陰平,z,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,y,24,陰平,,,,,,,,,,,,,0,i,11,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,i,33,陰平,z,i,33,陰平,z,y,33,陰平,z,i,44,陰平,0,i,24,陽平,z,y,44,陰平,,,,,z,ʯ,44,陰平,z,i,23,陽平,0,i,33,陰平,z,ɿ,24,陽平,,,,,,,,
2288,z,y,35,陽平,,,,,,,,,0,i,44,陰平,ɲ,y,11,陽平,,,,,z,i,33,陰平,z,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,iu,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,j,y,42,上聲,,,,,,,,,,,,,0,i,11,陽平,,,,,,,,,,,,,v,i,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,i,213,陽平,z,i,33,陰平,z,y,33,陰平,z,i,44,陰平,0,i,24,陽平,z,y,44,陰平,,,,,z,ʯ,44,陰平,z,i,23,陽平,0,i,21,陽平,z,ɿ,24,陽平,,i,21,陽平,,,,
2307,h,y,35,陰平,,,,,,,,,,,,,z,y,31,陽去,,,,,z,i,33,陰平,z,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,i,44,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,i,33,陰平,s,ɿ,33,陰平,h,y,33,陰平,v,u,44,陰平,0,i,24,陽平,v,u,44,陰平,,,,,z,ʯ,44,陰平,z,i,23,陽平,0,i,33,陰平,z,ɿ,24,陽平,,,,,,,,
2345,kʰ,y,35,陽平,,,,,,,,,kʰ,i,31,上,kʰ,y,11,陽平,,,,,kʰ,i,11,陽平,kʰ,i,11,陽平,kʰ,i,21,陽平,kʰ,i,21,陽平,kʰ,i,21,陽平,,,,,kʰ,i,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tɕʰ,i,24,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ,i,213,陽平,kʰ,i,213,陽平,kʰ,y,11,陽平,kʰ,y,11,陽平,kʰ,i,24,陽平,,,,,,,,,kʰ,i,23,陽平,kʰ,i,23,陽平,kʰ,i,21,陽平,kʰ,i,24,陽平,,,,,,,,
2362,z,y,35,陽平,,,,,,,,,0,i,11,陽平,z,y,11,陽平,,,,,z,i,11,陽平,z,i,11,陽平,j,i,21,陽平,ʒ,i,21,陽平,ʒ,i,21,陽平,,,,,j,i,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,u,13,陽平,,,,,,,,,,,,,,,,,0,ɜ,211,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,y,213,陽平,s,u,213,陽平,z,y,11,陽平,z,y,11,陽平,0,i,24,陽平,z,u,11,陽平,,,,,z,i,23,陽平,z,i,23,陽平,0,i,21,陽平,z,ɿ,24,陽平,l,u,21,陽平,,,,
2378,s,y,44,陰平,s,u,33,陰平,s,i,53,陰平,s,i,44,陰平,s,y,33,陰平,s,i,33,陰平,s,i,33,陰平,s,i,33,陰平,,,,,,,,,,,,,s,i,34,陰平,,,,,s,y,44,陰平,s,y,22,陰平,s,iəɯ,33,陰平,s,i,33,陰平,ɕ,i,45,陰平,,,,,s,iu,43,陰平,ɕ,iu,42,陰平,ɕ,iu,53,陰平,ɕ,i,24,陰平,ɕ,i,35,陰平,ɕ,i,24,陰平,ɕ,i,24,陰平,s,yu,31,陰平,ɕ,i,24,陰平,ɕ,i,33,陰平,ɕ,i,24,陰平,ɕ,y,44,陰平,ɕ,y/i,44,陰平,ɕ,y,33,陰平,s,i,44,陰平,s,i,35,陰平,s,i,24,陰平,s,i,24,陰平,s,i,35,陰平,s,i,24,陰平,ɕ,i,24,陰平,s,u,45,陰平,s,u,34,陰平,ɬ,u,35,陰平,ɬ,u,44,陰平,s,u,45,陰平,ɬ,u,35,陰平,ɬ,u,34,陰平,h/ɬ,i/u,55/55,陰平/陰平,ɬ/ɬ,i/u,55/55,陰平/陰平,θ,i,35,陰平,θ,y,33,陰平,s,ɿ,33,陰平,ɬ,y,33,陰平,ɬ,u,44,陰平,ɬ,i,55,陰平,ɬ,y,44,陰平,s,i,44,陰平,s,ɿ,44,陰平,s,ʯ,44,陰平,s,ui,33,陰平,s,ɿ,33,陰平,s,ɿ,33,陰平,,,,
2379,s,y,44,陰平,s,u,33,陰平,s,i,53,陰平,s,i,44,陰平,s,y,33,陰平,s,i,33,陰平,s,i,33,陰平,s,i,33,陰平,ʃ,i,34,陰平,ʃ,i,34,陰平,ʃ,i,34,陰平,s,i,34,陰平,ʃ,u,34,陰平,s,y,44,陰平,s,y,22,陰平,s,iəɯ,33,陰平,s,i,33,陰平,ɕ,i,45,陰平,ʃ,y,13,陰平,s,iu,43,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɕ,i,33,陰平,,,,,,,,,,,,,ɕ,y,33,陰平,,,,,,,,,,,,,,,,,s,i,35,陰平,,,,,,,,,s,u,45,陰平,s,u,34,陰平,ɬ,u,35,陰平,ɬ,u,44,陰平,s,u,45,陰平,ɬ,u,35,陰平,ɬ,u,34,陰平,h/ɬ,i/u,55/55,陰平/陰平,ɬ/ɬ,i/u,55/55,陰平/陰平,θ,i,35,陰平,θ,y,33,陰平,s,ɿ,33,陰平,ɬ,y,33,陰平,ɬ,u,44,陰平,ɬ,u,55,陰平,ɬ,y,44,陰平,s,i,44,陰平,s,ɿ,44,陰平,s,ʯ,44,陰平,s,u,33,陰平,s,ɿ,33,陰平,s,ɿ,33,陰平,,,,
2386,s,y,44,陰平,,,,,,,,,s,i,44,陰平,s,y,33,陰平,,,,,s,i,33,陰平,s,i,33,陰平,ʃ,i,34,陰平,ʃ,i,34,陰平,ʃ,i,34,陰平,,,,,ʃ,i,34,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɕ,i,24,陰平,,,,,ɕ,i,24,陰平,,,,,,,,,,,,,ɕ,y,44,陰平,,,,,s,i,44,陰平,,,,,s,i,24,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θ,y,33,陰平,s,ɿ,33,陰平,ɬ,y,33,陰平,s,i,44,陰平,ɬ,i,55,陰平,ɬ,y,44,陰平,,,,,s,ɿ,44,陰平,s,ɿ,44,陰平,s,ui,33,陰平,s,ɿ,33,陰平,s,ɿ,33,陰平,,,,
